sample_id,tier,prim_ac,prim_pv,prim_fes,prim_et,reeval_ac,reeval_pv,reeval_fes,reeval_et,pv_agree,ac_agree,full_agree
processbench-gsm8k-gsm8k-114,T1,0,0,2,E2,0,0,2,E2,Y,Y,Y
processbench-gsm8k-gsm8k-117,T1,0,0,4,E1,0,0,3,E4,Y,Y,N
processbench-gsm8k-gsm8k-129,T1,0,0,2,E2,0,0,3,E2,Y,Y,N
processbench-gsm8k-gsm8k-133,T1,0,0,4,E2,0,0,4,E2,Y,Y,Y
processbench-gsm8k-gsm8k-146,T1,0,0,2,E2,0,0,2,E2,Y,Y,Y
processbench-gsm8k-gsm8k-234,T1,1,1,,,1,1,,,Y,Y,Y
processbench-gsm8k-gsm8k-307,T1,1,1,,,1,1,,,Y,Y,Y
processbench-gsm8k-gsm8k-310,T1,1,1,,,1,1,,,Y,Y,Y
processbench-gsm8k-gsm8k-327,T1,1,1,,,1,1,,,Y,Y,Y
processbench-gsm8k-gsm8k-350,T1,1,1,,,1,1,,,Y,Y,Y
processbench-gsm8k-gsm8k-370,T1,1,1,,,1,1,,,Y,Y,Y
processbench-gsm8k-gsm8k-388,T1,1,1,,,1,1,,,Y,Y,Y
processbench-gsm8k-gsm8k-40,T1,0,0,2,E3,0,0,2,E3,Y,Y,Y
processbench-gsm8k-gsm8k-46,T1,0,0,4,E3,0,0,4,E3,Y,Y,Y
processbench-gsm8k-gsm8k-52,T1,0,0,4,E2,0,0,4,E3,Y,Y,N
processbench-math-math-175,T2,0,0,8,E3,0,0,6,E3,Y,Y,N
processbench-math-math-323,T2,0,0,1,E2,0,0,1,E2,Y,Y,Y
processbench-math-math-551,T2,1,1,,,1,1,,,Y,Y,Y
processbench-math-math-565,T2,1,0,1,E9,0,0,3,E2,Y,N,N
processbench-math-math-568,T2,1,1,,,1,1,,,Y,Y,Y
processbench-math-math-582,T2,1,1,,,1,1,,,Y,Y,Y
processbench-math-math-606,T2,1,1,,,1,1,,,Y,Y,Y
processbench-math-math-617,T2,1,1,,,1,1,,,Y,Y,Y
processbench-math-math-626,T2,1,0,6,E9,1,1,,,N,Y,N
processbench-math-math-628,T2,1,1,,,1,1,,,Y,Y,Y
processbench-math-math-72,T2,0,0,2,E3,0,0,2,E3,Y,Y,Y
processbench-math-math-720,T2,1,1,,,1,1,,,Y,Y,Y
processbench-math-math-721,T2,1,0,5,E9,1,1,,,N,Y,N
processbench-math-math-725,T2,1,0,3,E9,1,0,4,E2,Y,Y,N
processbench-math-math-772,T2,1,0,1,E3,1,0,1,E3,Y,Y,Y
processbench-math-math-853,T2,1,1,,,1,1,,,Y,Y,Y
processbench-math-math-912,T2,1,1,,,1,1,,,Y,Y,Y
processbench-math-math-925,T2,1,0,2,E9,1,0,2,E9,Y,Y,Y
processbench-math-math-96,T2,0,0,6,E2,0,0,6,E5,Y,Y,N
processbench-math-math-997,T2,1,1,,,1,1,,,Y,Y,Y
processbench-olympiadbench-olympiadbench-249,T3,0,0,11,E3,0,0,11,E3,Y,Y,Y
processbench-olympiadbench-olympiadbench-311,T3,0,0,3,E2,0,0,3,E2,Y,Y,Y
processbench-olympiadbench-olympiadbench-354,T3,0,0,13,E2,0,0,4,E2,Y,Y,N
processbench-olympiadbench-olympiadbench-370,T3,0,0,5,E2,0,0,4,E2,Y,Y,N
processbench-olympiadbench-olympiadbench-371,T3,0,0,3,E2,0,0,3,E3,Y,Y,N
processbench-olympiadbench-olympiadbench-442,T3,0,0,5,E5,0,0,5,E5,Y,Y,Y
processbench-olympiadbench-olympiadbench-561,T3,0,0,3,E2,1,0,2,E9,Y,N,N
processbench-olympiadbench-olympiadbench-691,T3,1,0,6,E9,1,0,6,E9,Y,Y,Y
processbench-olympiadbench-olympiadbench-749,T3,1,1,,,1,1,,,Y,Y,Y
processbench-olympiadbench-olympiadbench-851,T3,1,0,8,E9,1,0,9,E9,Y,Y,N
processbench-olympiadbench-olympiadbench-855,T3,1,1,,,1,1,,,Y,Y,Y
processbench-olympiadbench-olympiadbench-883,T3,1,1,,,1,1,,,Y,Y,Y
processbench-olympiadbench-olympiadbench-892,T3,1,0,2,E9,0,0,2,E5,Y,N,N
processbench-omnimath-omnimath-364,T4,0,0,9,E3,0,0,9,E3,Y,Y,Y
processbench-omnimath-omnimath-395,T4,0,0,3,E5,0,0,3,E5,Y,Y,Y
processbench-omnimath-omnimath-536,T4,1,1,,,1,1,,,Y,Y,Y
processbench-omnimath-omnimath-61,T4,0,0,2,E4,0,0,1,E4,Y,Y,N
processbench-omnimath-omnimath-623,T4,1,0,3,E3,0,0,3,E2,Y,N,N
processbench-omnimath-omnimath-647,T4,1,0,2,E2,0,0,2,E2,Y,N,N
processbench-omnimath-omnimath-670,T4,1,1,,,1,1,,,Y,Y,Y
processbench-omnimath-omnimath-714,T4,0,0,5,E5,1,1,,,N,N,N
processbench-omnimath-omnimath-737,T4,1,1,,,1,1,,,Y,Y,Y
processbench-omnimath-omnimath-784,T4,1,1,,,1,1,,,Y,Y,Y
processbench-omnimath-omnimath-835,T4,1,0,4,E2,1,1,,,N,Y,N
processbench-omnimath-omnimath-850,T4,1,1,,,1,1,,,Y,Y,Y
