sample_id,tier,gold,evaluator_process_valid,evaluator_first_error_step,evaluator_error_type,evaluator_answer_correct,evidence,step_content,human_verdict,human_note
processbench-gsm8k-gsm8k-147,T1,,INVALID,2,E2,FALSE,第2步把『比两倍年龄小5岁』误算为 2*22-8=38：既漏掉题目中的『5岁』，又错把时间偏移8年当减数；且 2*22=44 误写成 46。正确应为 (22+8)*2-5=55（表亲8年后年龄），年龄差非16。,"If Jame will turn 27 in 5 years, then currently he is 27 - 5 = 22 years old. || In 8 years, his cousin will be 2 * 22 - 8 = 46 - 8 = 38 years old. || To find out how many years separate the age of the two now, subtract their current ages: 38 - 22 = 16. || The answer is: \boxed{16}",,
processbench-gsm8k-gsm8k-154,T1,,INVALID,1,E2,FALSE,第1步把『省$2』的基准当成超套票基础价$20，算得另购方案$18；但超套票实付$20+$1=$21，省$2意味着另购方案应为$21-$2=$19，故爆米花=$19-$12-$3=$4。建模基准用错导致答案$6错误。,Super ticket $20 includes popcorn+soda for $1 extra => total $21. Movie ticket $12. Saving $2 by not buying super ticket => cost without super ticket = $20 - $2 = $18. || Popcorn with soda in super ticket = $21 - $12 = $9. || Regular price of popcorn = $9 - $3 = $6. Therefore $6.,,
processbench-gsm8k-gsm8k-232,T1,,VALID,,,TRUE,三步分别算出 Leila $6、Jack $5、Chase $3，求和 $14，计算与建模均正确，无错步。,Leila 3 cucumbers @ $2 = $6. || Jack 5 tomatoes @ $1 = $5. || Chase 1 lettuce @ $3 = $3. || Total = $6 + $5 + $3 = $14. || Total = \boxed{$14}.,,
processbench-gsm8k-gsm8k-240,T1,,VALID,,,TRUE,M/W/F 3天×3h=9h；T/Th 2天×4h=8h；周合计17h；17×16=272h。计算与建模正确。,M/W/F: 3 days * 3 hr/day = 9 hr/week. || T/Th: 2 days * 4 hr/day = 8 hr/week. || Total 17 hr/week. || 17 * 16 = 272 hr. \boxed{272},,
processbench-gsm8k-gsm8k-287,T1,,VALID,,,TRUE,距离16mi、干草8捆、$24、带$30、找零$6，逐步计算正确。,Distance = 32 mph * 0.5 h = 16 miles. || Bales = 16 * 1/2 = 8. || Cost = 8 * $3 = $24. || Total money = 6 * $5 = $30; change = $30 - $24 = $6. || \boxed{6},,
processbench-gsm8k-gsm8k-394,T1,,VALID,,,TRUE,连乘折旧因子 0.7×0.7×0.8：9000→6300→4410→3528，计算正确。,Year1: 9000 * 0.30 = 2700; value 6300. || Year2: 6300 * 0.30 = 1890; value 4410. || Year3: 4410 * 0.20 = 882; value 3528. || \boxed{3528},,
processbench-gsm8k-gsm8k-52,T1,,INVALID,4,E2,FALSE,第3步累计已为 Doxa(1)+sister(2)+brother(3)=6；第4步又把 Doxa 的1片重复加回得7，重复计数。正确总数应为6。,Doxa ate 1 slice. Total 1. || Sister ate 1+1 = 2 slices. Total 3. || Brother ate 2+1 = 3 slices. Total 6. || Add Doxa's original 1: 6 + 1 = 7. || \boxed{7},,
processbench-math-math-68,T2,,INVALID,2,E3,FALSE,第2步由 (1/2)(16+x)(12)=162 得 16+x=27，但 27-16=11 误算为 x=8；正确 x=11。且梯形另一腰应为斜边长 sqrt(5^2+12^2)=13，周长应为 16+11+12+13=52，非48。,"(1/2)(16 + x)(12) = 162. || (16 + x)(12) = 324, 16 + x = 27, x = 8. || Perimeter = 16 + 8 + 12 + 12 = 48. || Final Answer: 48.",,
processbench-math-math-733,T2,,VALID,,,TRUE,"中点 ((-2,6))，坐标和 -2+6=4，逐步计算正确。","Midpoint formula ((x1+x2)/2, (y1+y2)/2). || ((5+(-9))/2, (4+8)/2) = (-2, 6). || Sum = -2 + 6 = 4. || \boxed{4}",,
processbench-math-math-910,T2,,INVALID,7,E3,FALSE,第7步把 -(x^2+2x+4)(x-2) 展开为 -(x^4+3x^3-6x^2-8x+4)，但二次式×(一次式)应为三次式 x^3-8，出现四次项为展开错误；后续判别式符号算错，答案0错误（实际有2个实根）。,Factor denominators; common denominator (x-2)(x-1)(x+1)(7-x). || Multiply both sides by that to clear denominators. || Simplify LHS numerator. || After cancelling: (45-15x-x^2)/((7-x)(1+x)(1-x)) = 3(...). || Factor: -(15+x)(3-x) = 3. || Expand: -(45-15x+3x-x^2) = 3. || Rearrange: x^2 - 12x + 48 = 0. || Discriminant = 144 - 192 = -48 < 0 => 0 real solutions. \boxed{0},,
processbench-math-math-977,T2,,INVALID,2,E9,TRUE,"第1步由椭圆 PF1+PF2=2a 正确得 d=14（答案正确）；但第2步称焦点在(-1,0)和(6,0)，正确应为 (-1±√24,0)，把半轴长a=7误当焦距c。过程含具体错误但结论碰巧正确 → E9。","Ellipse: PF1+PF2 = 2a, so 2a = d, a=7, b=5. || c = sqrt(7^2-5^2) = sqrt(24), foci at (-1,0) and (6,0). || PF1=1, PF2=13 => d=14. || Final Answer: 14.",,
processbench-olympiadbench-olympiadbench-1,T3,,INVALID,4,E2,FALSE,第4步断言『三角形LEO是直角三角形，LE与高h为两直角边』，错误：h是顶点L到基面中心H的垂高，并非到边EO的垂距；L到EO的垂距应为 sqrt(h^2+(中心到边距)^2)=sqrt(48+1)=7，故面积应为 (1/2)*EO*7=(1/2)*2*7=7，而非 4√3。,Square base area 4 => s=2. || Center to vertex E = half diagonal = sqrt(2). || LE=5√2; h^2 + (√2)^2 = 50 => h=4√3. || Triangle LEO is right with legs LE and h: area = (1/2)*s*h = 4√3. || \boxed{4√3},,
processbench-olympiadbench-olympiadbench-371,T3,,INVALID,2,E2,FALSE,"第2步把 2p+6q 代入为 2x+6y（x=p+q,y=p-q）错误；正确 2p+6q=4x-2y，应得 xy-4x+2y=8。且结论『最大 p+q=30』非最大（如 p=23,q=19 也满足且 p+q=42），答案错误。","p^2-q^2=(p-q)(p+q)=2p+6q+8. || Rearrange: (p-q)(p+q) - 2(p+3q) = 8; substitute x=p+q, y=p-q => xy - 2x - 6y = 8. || xy - 2x - 6y - 12 = -4; add 12 => xy - 2x - 6y + 12 = 4 => (x-6)(y-2)=4. || Enumerate factor pairs of 4. || All give non-integer / non-prime p. || Brute force test: p=19,q=11 fails; p=17,q=13 works => p+q=30. || \boxed{30}",,
processbench-olympiadbench-olympiadbench-556,T3,,VALID,,,TRUE,a20/a14=r^6=8/2^21=2^-18，r=2^-3=1/8，a21=8*(1/8)=1，推导正确。,"a_n = a1 r^(n-1); a20 = a1 r^19 = 8, a14 = a1 r^13 = 2^21. || Divide: r^6 = 8/2^21. || 8 = 2^3 => r^6 = 2^-18. || r = 2^-3 = 1/8. || a21 = a20 * r = 8 * 1/8 = 1. || \boxed{1}",,
processbench-olympiadbench-olympiadbench-94,T3,,INVALID,1,E2,FALSE,"第1步把『选2个字母』当成有序 13×12 处理，应为组合 C(13,2)；正确可选集合数=C(13,2)*C(13,2)=78*78=6084，P(相同)=1/6084，而非 1/24300^2。",First half: 13*12 ways; second half: 13*12 ways. Total 13^2*12^2. || Ayesha same. || Both: (13^2*12^2)^2. || Favorable: 1 way. || P = 1/(13^2*12^2)^2 = 1/24300^2. || \boxed{1/24300^2},,
processbench-omnimath-omnimath-635,T4,,VALID,,,TRUE,p=P(至少一个坐标>p)=1-p^2，且 p 即该概率，故 p=1-p^2，解得 p=(√5-1)/2，自洽且推导正确。,P(neither > p) = p^2 (square side p in unit square). || P(neither) = p^2. || P(at least one > p) = 1 - p^2. || Let p = that probability => p = 1 - p^2 => p^2+p-1=0 => p = (-1+√5)/2. || Substitute: 1 - p^2 = (√5-1)/2 = p. || \boxed{(√5-1)/2},,
processbench-omnimath-omnimath-7,T4,,INVALID,1,E9,TRUE,第1步约数求和 1+2+...+666 实际=1563（check_step_symbolic 判定 FALSE），并非所写的1998；但该算术错不影响『1998非完全数』这一正确中间结论，且最终 f(1998)=5 在题目约定下正确。过程含具体算术错但答案正确 → E9。,"Check perfect: divisors sum (excl 1998) = 1+2+...+666 = 1998 (claims not equal => not perfect). || Last digit 8, not 4. || 1998 = 2 * 3^3 * 37; f(1998)=f(2)+f(3^3)+f(37). || Assume f(prime)=1 for primes not perfect / not ending in 4. || f(3^3)=3. || f(1998)=1+3+1=5. \boxed{5}",,
processbench-omnimath-omnimath-737,T4,,VALID,,,TRUE,1-(1/3+1/6+1/4)=1-9/12=3/12=1/4，计算正确。,"LCM of 3,6,4 is 12. || Jovin 4/12, Anna 2/12, Olivia 3/12. || Sum = 9/12. || 12/12 - 9/12 = 3/12. || 3/12 = 1/4. || \boxed{1/4}",,
processbench-omnimath-omnimath-879,T4,,VALID,,,TRUE,对每个 h，m 可取 0..59-h 共 60-h 个，s=h+m≤59 自动成立；Σ_{h=0}^{23}(60-h)=1440-276=1164，正确。,"h 0..23, m 0..59, s 0..59, s=h+m. || For each h, m 0..59-h. || Sum over h of (60-h). || 60*24 - 23*24/2 = 1440 - 276 = 1164. || 1164 times.",,
processbench-omnimath-omnimath-884,T4,,INVALID,3,E5,FALSE,结论『所有 n≥2 都可』无有效证明：仅以『总石数需为3的倍数』为由跳到任意 n 可行，但清空需真正填满整行/整列。反例 n=2：放一个L形三连块后只余1空格，无法再放三连块也无法清空任何行列，故 n=2 不可能，答案错误。,"Add L-tromino (+3), clear full row/col (-n). || Observation 1: total stones multiple of 3. || Observation 2: row/col operations remove n at a time. || Parity/divisibility: total divisible by 3; any n≥2 will work as long as initial placement allows clearing. || Keep total divisible by 3; key is not dimension. || Answer: all integers n≥2.",,
